algorithm_no,algorithm,family,notion_legacy_implementation_status,notion_architecture_status,notion_legacy_existing_files,notion_scientific_validation,src000_movefuel2_status,src001_movefule1_status,src001_present_paths,src001_missing_paths,src002_older_zip_status,src003_additional_status,src004_g_latest_status,final_disposition,canonical_path,notes
116,Watch Peer / Account Verification Algorithm,Watch + Sync,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
117,Canonical Workout Delivery Revision Selector,Watch + Sync,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
118,Offline Workout Journal Ordering Algorithm,Watch + Sync,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
119,Sync Idempotency / Deduplication Algorithm,Watch + Sync,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
120,Stale Event Rejection Algorithm,Watch + Sync,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
121,Device / User Ownership Gate,Watch + Sync,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
122,Canonical Sync Reconciler,Watch + Sync,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
123,Sync Receipt / ACK State Resolver,Watch + Sync,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
124,Health Data Normalizer,Watch + Sync,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
125,Health Source Dedupe / Priority Resolver,Watch + Sync,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
126,Steps / Activity Aggregator,Watch + Sync,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
127,Sleep Summary Extractor,Watch + Sync,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
128,Imported Workout Reconciler,Watch + Sync,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
129,Recovery Signal Extractor,Watch + Sync,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
130,Offline-to-Online State Merge Algorithm,Watch + Sync,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
131,AI Provider / Model Router,AI Orchestration,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
132,Structured Output Validator,AI Orchestration,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
133,Provider Fallback / Abstention Engine,AI Orchestration,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
134,Evidence Grounding Checker,AI Orchestration,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
135,AI Cost / Token Policy Router,AI Orchestration,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
136,Explanation / Reason-Code Generator,AI Orchestration,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
137,Expert Specialty Matcher,Future Expert Network,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
138,Expert Credential / Scope Validator,Future Expert Network,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
139,User Data Scope Resolver,Future Expert Network,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
140,Expert Report Generator,Future Expert Network,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
141,Expert Proposal Scope Validator,Future Expert Network,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
142,Proposal Conflict Detector,Future Expert Network,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
143,Multi-Expert Conflict Resolver,Future Expert Network,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
144,Expert Proposal Canonicalization Engine,Future Expert Network,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
145,Creator-vs-Professional Content Classifier,Future Expert Network,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
146,Sponsorship / Conflict-of-Interest Labeler,Future Expert Network,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
147,Expert Alert Triage Algorithm,Future Expert Network,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
148,Marketplace Quality / Reputation Ranker,Future Expert Network,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
149,Moderation / Risk Triage Algorithm,Future Expert Network,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
150,Clinical-Lane Routing Gate,Future Expert Network,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
151,Consent Expiry / Revocation Resolver,Future Expert Network,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
152,Dynamic Energy Expenditure Estimator,Competitor-Gap,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
153,Partial Logging Quality Classifier,Competitor-Gap,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
154,Weekly Target Adjustment Smoother,Competitor-Gap,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
155,Full Nutrient Adequacy Analyzer,Competitor-Gap,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
156,Food Nutrient Contribution Ranker,Competitor-Gap,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
157,Cross-Metric Correlation Analyzer,Competitor-Gap,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
158,Recipe Recommendation Ranker,Competitor-Gap,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
159,Meal Plan Swap / Replan Optimizer,Competitor-Gap,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
160,Household Meal Portion Planner,Competitor-Gap,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
161,Nutrition Label Extraction / Resolver,Competitor-Gap,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
162,Restaurant / Menu Candidate Resolver,Competitor-Gap,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
163,Estimated Strength / 1RM Model,Competitor-Gap,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
164,Training Volume Balance Optimizer,Competitor-Gap,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
165,Superset / Circuit Composer,Competitor-Gap,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
166,Workout Refresh Trigger Orchestrator,Competitor-Gap,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
167,Behavior Intervention Ranker,Competitor-Gap,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
